track_id,track_name,track_popularity,track_duration,artist_name,artist_popularity,genres,available_markets,danceability,acousticness,tempo
20GrahbI4AzAOWxpYfDKkf,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",73,165366,DJ Khaled,84,dance pop,178,0.757,0.00196,124.036
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,73,170640,Taylor Swift,98,pop,178,0.664,0.298,92.875
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,76,224920,Alicia Keys,82,hip pop,178,0.482,0.135,92.513
4sWuPniHClkInYAnzXAYUF,Camelot,73,148759,NLE Choppa,82,memphis hip hop,178,0.787,0.0849,175.046
6PxNpy8jOjyZ8aGCD58LpW,acting like that (feat. Machine Gun Kelly),71,191066,YUNGBLUD,81,british indie rock,178,0.522,6.98e-05,160.01
5QS8PNEWbqTEZyQ6e9ZbJf,Things A Man Oughta Know,70,203373,Lainey Wilson,60,contemporary country,177,0.659,0.513,139.931
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,83,391376,Eagles,80,album rock,161,0.579,0.00574,147.125
3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,75,257690,Drake,99,canadian hip hop,173,0.395,0.19,162.361
1bAhB2a2UeacLYrizlVfHG,In Your Arms (with X Ambassadors) [Alan Walker Remix],58,249264,ILLENIUM,79,edm,178,0.496,0.0697,159.885
38nVuIj9mi5a8oopOJhSJk,Here Tonight,64,216533,Brett Young,73,contemporary country,178,0.517,0.0144,96.002
26QApq0cuO9brJigr0C0W4,HACIENDO QUE ME AMAS,81,217768,Bad Bunny,98,latin,177,0.584,0.869,169.934
4MflGTO2ZTcSQ12bWcyRgI,"Honey, I'm Good.",72,199263,Andy Grammer,78,dance pop,174,0.752,0.0324,122.014
1n2wszmJyVkw6FHqyLnQsY,Come In With The Rain (Taylor’s Version),73,237338,Taylor Swift,98,pop,178,0.476,0.0406,143.929
74I3m25h61192JZvqonoI9,"The Mob - From ""Gladiator"" Soundtrack",9,142773,Hans Zimmer,80,german soundtrack,95,0.235,0.0736,134.135
0VWLId2RwPCno9s1cJm2Vy,Travesuras - Remix,86,324426,Nio Garcia,86,latin,177,0.739,0.0513,175.996
62d6YXEYxmMWAuLpw1EysL,Garden Kisses,66,195405,Giveon,92,pop,178,0.478,0.915,120.129
29nNU80zu0vscbrvTi55mG,I'm in a Hurry (And Don't Know Why),64,168813,Alabama,69,country,178,0.748,0.237,128.69
1SfTD2UPGpjWdXoJypiHDH,Por Qué Me Fui A Enamorar De Ti,0,260306,Mon Laferte,75,latin,95,0.638,0.48,94.969
2tJulUYLDKOg9XrtVkMgcJ,Grenade,77,223253,Bruno Mars,94,dance pop,38,0.706,0.146,110.443
5MrGSuwjXPOHSJoowKPUgp,Machucando,0,178800,Daddy Yankee,91,latin,95,0.846,0.23,93.962
7szuecWAPwGoV1e5vGu8tl,In Your Eyes,84,237520,The Weeknd,97,canadian contemporary r&b,178,0.667,0.00285,100.021
2dl5K2ScW7jYhAhuem06cm,PROBLEMA,84,184506,Daddy Yankee,91,latin,178,0.773,0.0613,89.988
33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",75,325506,Mobb Deep,71,east coast hip hop,178,0.763,0.0146,93.857
4lsHZ92XCFOQfzJFBTluk8,You Got It,79,203144,Vedo,71,pop r&b,178,0.762,0.143,122.074
5KBARWIxeMGkvUax9VtVC9,My Type,74,126446,Saweetie,83,cali rap,177,0.899,0.000677,105.038
4Kjo34blxmLG5HNUKEvHRM,Happen To Me,59,231700,BENEE,75,alt z,178,0.661,0.168,148.994
2O97frCXRrFLDV10UeCd9V,Quiero Ser,59,209583,Los Primos del Este,54,corrido,177,0.651,0.0447,104.832
0HXczmxDDIJt3umLNnhlre,"33 Piano Variations in C, Op.120 on a Waltz by Anton Diabelli: Variation XXXI (Largo, molto espressivo)",0,305200,Ludwig van Beethoven,76,classical,95,0.294,0.994,97.478
0PKAijroHpnEtdY20bkGdr,ghost town (voice memo),77,137250,Chloe George,65,[],178,0.471,0.953,68.41
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,84,233478,Bruno Mars,94,dance pop,160,0.726,0.049,143.994
7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),77,229573,Post Malone,93,dfw rap,173,0.499,0.0906,139.919
4YU704KDCv4tyE6qQxliY3,No Me Pesa,70,221813,Junior H,80,corrido,178,0.51,0.114,100.152
1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix,72,197933,Mike Posner,78,dance pop,3,0.664,0.0353,101.969
6f3Slt0GbA2bPZlz0aIFXN,The Business,94,164000,Tiësto,88,big room,178,0.798,0.414,120.031
3hpGcrKcLJI3qs9t6mQwd2,Telephone - Crookers Vocal Remix,0,289666,Lady Gaga,90,dance pop,75,0.861,0.00556,122.015
2ECIwi1a7mfokdDkkJ08Ne,Loca - Remix,74,346460,KHEA,83,argentine hip hop,177,0.795,0.337,113.033
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),85,200221,DJ Khaled,84,dance pop,178,0.8,0.057,163.071
5zwz05jkQVT68CjUpPwFZe,N.Y. State of Mind,66,293973,Nas,78,conscious hip hop,178,0.665,0.0394,84.099
2Jsp97sgK0BPX9HZDqxaM6,Morado,0,200666,J Balvin,95,latin,95,0.881,0.136,97.002
03d8S7FBY2kIzhP0E7l4rn,If I Know Me,69,157693,Morgan Wallen,88,contemporary country,178,0.777,0.765,99.934
1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october,81,184153,girl in red,81,bedroom pop,178,0.566,0.113,129.959
4dTaAiV9xFFCxnPur9c9yL,Memories (feat. Kid Cudi),69,210093,David Guetta,91,big room,1,0.561,0.0015,129.98
7hZoTr4ffMGqm9opMiGmBp,ONCE UPON A TIME (FREESTYLE),63,150819,IDK,67,dmv rap,177,0.653,0.114,91.102
6ncOJqpM3QPUt0z09ygtak,"Don Giovanni, ossia Il dissoluto punito, K.527 / Act 2: ""In quali eccessi, o numi""",3,131988,Wolfgang Amadeus Mozart,79,classical,95,0.357,0.954,104.382
3JvrhDOgAt6p7K8mDyZwRd,Riptide,79,204280,Vance Joy,79,folk-pop,176,0.484,0.431,101.654
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),82,250373,Usher,84,atl hip hop,178,0.894,0.0183,105.018
3hpGcrKcLJI3qs9t6mQwd2,Telephone - Crookers Vocal Remix,0,289666,Lady Gaga,90,dance pop,75,0.861,0.00556,122.015
4Fgu6wPYOcUmcQAbcrikZ1,Morado,0,200666,J Balvin,95,latin,95,0.881,0.136,97.002
4igIYHF3B5VBxEafHauVo3,Fat Bottomed Girls - Remastered 2011,65,255600,Queen,90,classic rock,2,0.337,0.0319,88.772
1Cwsd5xI8CajJz795oy4XF,You Get What You Give,73,300773,New Radicals,62,pop rock,178,0.621,0.17,113.967
4IRHwIZHzlHT1FQpRa5RdE,Goodbye Yellow Brick Road - Remastered 2014,72,192826,Elton John,85,glam rock,178,0.559,0.446,121.227
7ywzEdEuVG1lsjsRCGJfLy,When I Look At You,65,248586,Miley Cyrus,89,dance pop,1,0.459,0.142,137.941
0pt0wjZNeFOMIeCudmXRrl,1004 Kilómetros,68,277167,Junior H,80,corrido,174,0.651,0.671,96.845
5E2v6b4Mo4jxuPrcK4YEIF,King Of Kings,60,265133,Hillsong Worship,77,ccm,2,0.489,0.122,136.045
5xvUgoVED1F4mBu8FL0HaW,Ready or Not,73,200946,Bridgit Mendler,68,dance pop,149,0.715,0.00351,93.043
1MJErNPIQUoEMu4YUUmecm,Neon Guts (feat. Pharrell Williams),66,258789,Lil Uzi Vert,91,melodic rap,164,0.859,0.0541,119.934
0YAQnYt2oB8OdoaeqnHyTI,Tribe (with J. Cole),70,238053,Bas,71,hip hop,173,0.755,0.241,178.929
1lYjV6BBmV8LYud3qnpb6O,CÓMO SE SIENTE - Remix,2,227520,Jhay Cortez,91,latin,95,0.807,0.0946,92.988
7Feaw9WAEREY0DUOSXJLOM,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),77,163804,Martin Garrix,83,dance pop,178,0.661,0.179,113.778
44n97yHySt0Z9rqPaXgjCK,Sorry,76,220540,Halsey,89,dance pop,173,0.513,0.913,74.103
1n8wr8tRHs5jmBxNWXedcn,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",70,174335,Shoreline Mafia,74,cali rap,178,0.9,0.371,99.964
